,Name,Category,Distance,Address,Latitude,Longitude,Review_count,Rating
213,La Fournée de St Barnabé Guyalex,['Bakeries'],127,128 Rue Montaigne,43.30383,5.41715,2,5.0
214,Rabellino Victorien,['Bakeries'],270,33 Rue Montaigne,43.30412,5.41541,2,5.0
215,Abed,"['Bakeries', 'Grocery']",133,1 rue Cade,43.33157,5.38966,1,3.0
216,La Maison de la Glace,['Ice Cream & Frozen Yogurt'],877,719-720 Immeuble les Arnavaux,43.3379,5.38315,169,3.0
217,Eglise Sainte-Marthe,"['Bakeries', 'Religious Organizations']",1063,Plateau de l'Eglise,43.3386944,5.3957915,1,4.0
218,Adriatic,['French'],446,8 boulevard du Commandant Finat-Duclos,43.33211,5.38411,1,3.0
219,Black Stone,"['Pubs', 'Pizza', 'Brasseries']",410,10 boulevard Gustave Ganay,43.2655423240019,5.39885479933628,11,4.0
220,La Cité Radieuse,['Landmarks & Historical Buildings'],868,280 boulevard Michelet,43.2617682,5.3969336,23,4.5
221,Set Marseille,"['Sports Clubs', 'French']",999,265 av de Mazargues,43.2620968,5.3933205,33,4.0
222,L'Olympe,['Restaurants'],119,28 Boulevard de Sainte Marguerite,43.268986,5.403107,5,4.0
223,Le Ventre de l'Architecte,['French'],911,280 boulevard Michelet,43.2612291931319,5.39625519577949,118,3.5
224,La Terrasse de Domino,['Mediterranean'],280,1 bd Paul Claudel,43.2683,5.40612,17,4.0
225,La Table de l'Empereur,['Vietnamese'],338,101 Boulevard Sainte-Marguerite,43.268114,5.406864,16,4.0
226,RICO,"['Mexican', 'Tex-Mex', 'Fast Food']",137,19 boulevard de Sainte-Marguerite,43.268982,5.403635,1,4.0
227,Le Pacifique 4,"['Buffets', 'Pan Asian']",1184,210 bd Romain Rolland,43.27408,5.41466,12,4.0
228,Salon des Tendances Créatives,['Local Flavor'],169,Parc Chanot,43.2729988,5.3968201,6,3.0
229,Au Moulin Doré,['Bakeries'],423,103 Rue Alphonse Daudet,43.3206731,5.4098525,1,5.0
230,Sushiwest,['Japanese'],1045,61 rue Saint Just,43.3167686,5.4155002,3,3.0
231,Le Mille Pâtes,['Italian'],1120,Av des Chutes Lavies,43.3152838,5.3982182,1,4.0
232,Roger Gozlan,"['Pizza', 'Italian']",561,40 Rue Alphonse Daudet,43.3184664,5.4072598,1,4.0
233,Rapido Burger,"['Food Delivery Services', 'Fast Food']",13,167 Avenue de la capelette,43.279945,5.416453,2,3.5
234,Dragon d'Asie,['Asian Fusion'],86,11 Boulevard Pont De Vivaux,43.27953,5.41751,4,4.5
235,La Chocolatine,['Bakeries'],88,2 Rue François Mauriac,43.27921,5.41698,1,3.0
236,camion pizza,"['Pizza', 'Fast Food']",431,bd du pont de vivaux,43.2809,5.4218,1,5.0
237,Bar Tabac du Pont,['Tabac'],69,92 avenue Capelette,43.2796044,5.4173301,6,1.5
238,Bar Central,"['Restaurants', 'Bars']",133,29 Boulevard Pont de Vivaux,43.2798446,5.4182605,1,2.0
239,BS Diffusion,"['Discount Store', 'Appliances', 'Bakeries']",490,107 bd Pont de Vivaux,43.28113,5.42234,5,3.0
240,La Route des Epices,['French'],681,189 Avenue Capelette,43.2805087,5.4082396,5,3.5
241,New Jamin,"['Burgers', 'Salad', 'Sandwiches']",517,14-16 rue des Forges,43.2792,5.41032,1,1.0
242,Boulangerie Marie Blachère,['Bakeries'],45,7 rue Gaston de Flotte,43.2959275556507,5.42295355349779,1,4.0
243,Les Salons de la Boiseraie,['French'],336,2 rue Gaston de Flotte,43.29679,5.4267,2,4.0
244,Le 626,"['Pizza', 'Italian']",636,626 Rue St Pierre,43.2901564,5.4256597,2,5.0
245,promopizza,['Italian'],739,résidence le vendôme,43.298479,5.431102,1,5.0
246,Pizza Première,"['Pizza', 'Food Delivery Services']",1338,36 boulevard de la Fédération,43.3121,5.40277,1,4.0
247,Le Fournil de la Rose,"['Windows Installation', 'Bakeries']",1011,94 Avenue Rose,43.326943,5.4232044,2,5.0
248,Sushi Red,"['Sushi Bars', 'Pan Asian']",1088,210 avenue de la rose,43.32769,5.42346,2,4.5
249,Parc de la Moline,"['Botanical Gardens', 'Parks']",468,Avenue de Montolivet,43.315837,5.415354,1,5.0
250,Mille et Une Saveurs,['Bakeries'],725,383 avenue Montolivet,43.31824,5.4237399,3,4.0
251,Le Kenji,"['Vietnamese', 'Pan Asian']",1024,18 avenue de la Figone,43.30768,5.43711,10,4.5
252,Cthaï,['Thai'],692,78 avenue du 24 avril 1915,43.3079423,5.4322673,11,4.0
